"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Hungary";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Homicide by negligence in traffic accidents";0;0;0;1;0;0;0;0;0;0;0;1;0;0
"Hungary";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Privacy infringement, defamation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Trafic law, total";40;42;49;67;53;61;63;80;77;92;81;105;89;96
"Hungary";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Traffic acc. under influence of alcohol";1;1;1;2;0;0;0;1;0;0;0;0;1;0
"Hungary";"Drunken driving";3;2;5;2;3;2;2;6;3;9;5;0;3;6
"Hungary";"Vehicle defect offences";0;0;1;5;1;1;5;2;1;1;0;4;0;2
"Hungary";"Road Traffic Act, other";36;39;42;58;49;58;56;71;73;82;76;101;85;88
"Hungary";"Special laws, total";4;11;10;12;17;21;33;30;32;34;32;35;39;51
"Hungary";"Euphoriants Act";2;9;5;4;5;11;12;8;6;14;6;15;13;10
"Hungary";"Firearms Act";1;0;0;1;1;0;0;3;1;1;3;2;6;1
"Hungary";"Income Tax And Fiscal Acts";0;0;0;1;1;2;0;2;1;0;0;2;2;3
"Hungary";"Other special laws.";0;0;2;1;3;5;15;13;21;13;20;7;10;27
"Hungary";"Health and social security legislation";1;0;1;1;1;0;0;0;0;2;0;3;6;1
"Hungary";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Environmental Act";0;0;0;1;1;0;0;0;0;0;0;1;0;1
"Hungary";"Other legislation applying to animals, hunting, etc";0;2;2;1;2;1;4;2;1;0;1;2;0;2
"Hungary";"Employ. and transport legislation, other";0;0;0;0;0;1;2;2;2;4;2;3;1;4
"Hungary";"Companies Act";0;0;0;0;1;1;0;0;0;0;0;0;0;0
"Hungary";"Other legislation applying to the Armed Forces";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Hungary";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hungary";"Other legislation relating to gambling, licencing, trade";0;0;0;1;2;0;0;0;0;0;0;0;0;2
"Hungary";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Austria";"Criminal decisions total";25;33;25;30;25;44;32;26;26;24;35;29;28;36
"Austria";"Criminal code, total";4;6;4;5;8;6;4;2;3;2;6;4;6;4
"Austria";"Sexual offenses, total";1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Austria";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Rape, etc";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Austria";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Offences against decency, by removing clothes";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Crimes of violence, total";1;1;0;0;1;0;0;1;0;0;2;1;1;0
"Austria";"Assault against public servant while in discharge of his duties";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Austria";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Common assault";1;1;0;0;0;0;0;1;0;0;0;1;0;0
"Austria";"Grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Austria";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Threats";0;0;0;0;1;0;0;0;0;0;0;0;1;0
"Austria";"Offenses against property, total";2;5;4;5;7;6;4;1;2;1;4;1;4;3
"Austria";"Forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Burglary (banks, shops, etc.)";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Austria";"Household burglary";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Burglary (uninhabited buildings)";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Austria";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Shoplifting, etc.";1;2;3;4;4;4;3;0;0;1;3;1;3;2
"Austria";"Other theft";0;1;0;0;0;0;0;1;0;0;1;0;1;0
"Austria";"Theft of vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Theft of bicycles";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Theft of other objects";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Larceny by finding";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"Austria";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Fraud";0;0;1;0;1;1;0;0;0;0;0;0;0;0
"Austria";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Handling stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Robbery";0;0;0;0;1;0;1;0;0;0;0;0;0;0
"Austria";"Gross tax evasion, etc.";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Austria";"Malicious damage to property";1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Austria";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Misappropriations and offences against property";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Other offences, total";0;0;0;0;1;0;0;0;0;1;0;2;1;1
"Austria";"Offences against public authority, etc.";0;0;0;0;0;0;0;0;0;0;0;1;1;1
"Austria";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Perjury, other";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Austria";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Trafficking of drugs, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Privacy infringement, defamation";0;0;0;0;0;0;0;0;0;1;0;1;0;0
"Austria";"Trafic law, total";17;26;19;22;18;25;19;14;18;14;24;23;16;23
"Austria";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Traffic acc. under influence of alcohol";0;0;0;0;0;0;1;1;0;0;0;2;0;0
"Austria";"Drunken driving";0;2;2;0;2;1;1;0;1;1;3;3;0;0
"Austria";"Vehicle defect offences";0;1;0;0;1;0;0;0;0;0;0;0;0;0
"Austria";"Road Traffic Act, other";17;23;17;22;15;24;17;13;17;13;21;18;16;23
"Austria";"Special laws, total";4;4;2;4;2;14;10;11;5;10;12;7;7;11
"Austria";"Euphoriants Act";2;1;2;0;1;4;3;2;1;5;3;1;2;2
"Austria";"Firearms Act";1;2;0;0;1;1;0;0;1;0;1;0;0;2
"Austria";"Income Tax And Fiscal Acts";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Austria";"Other special laws.";0;0;0;4;0;6;3;6;2;5;7;4;3;4
"Austria";"Health and social security legislation";0;0;0;0;0;1;1;0;0;0;0;0;2;0
"Austria";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Environmental Act";0;1;0;0;0;0;0;0;0;0;0;0;0;3
"Austria";"Other legislation applying to animals, hunting, etc";1;0;0;0;0;0;2;1;1;0;0;0;0;0
"Austria";"Employ. and transport legislation, other";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Austria";"Companies Act";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Austria";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;1;1;0;0;0;0;0;0
"Austria";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Austria";"Other legislation relating to gambling, licencing, trade";0;0;0;0;0;2;0;0;0;0;1;0;0;0
"Austria";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Criminal decisions total";60;61;70;67;76;90;83;79;74;73;90;124;108;94
"Algeria";"Criminal code, total";21;25;26;22;24;35;28;20;16;27;26;32;36;28
"Algeria";"Sexual offenses, total";1;0;1;0;0;0;1;0;0;0;1;0;1;1
"Algeria";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Algeria";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Offences against decency, by  pawing";0;0;0;0;0;0;1;0;0;0;0;0;1;0
"Algeria";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Offences against decency, other";1;0;1;0;0;0;0;0;0;0;0;0;0;1
"Algeria";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Crimes of violence, total";4;4;7;4;3;5;7;6;4;7;6;8;11;11
"Algeria";"Assault against public servant while in discharge of his duties";1;1;3;0;0;2;2;1;1;1;1;0;1;4
"Algeria";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Homicide";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Algeria";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Algeria";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Common assault";2;2;1;3;3;1;1;4;1;2;3;5;4;2
"Algeria";"Grievous assault";0;0;2;1;0;1;3;1;1;2;1;3;2;4
"Algeria";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Algeria";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Threats";1;1;1;0;0;1;1;0;1;1;1;0;2;1
"Algeria";"Offenses against property, total";14;19;17;18;19;27;20;12;10;20;19;23;24;15
"Algeria";"Forgery";0;0;1;0;0;0;0;1;2;0;0;1;0;1
"Algeria";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Algeria";"Arson";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Burglary (banks, shops, etc.)";1;1;1;0;1;0;2;2;0;2;0;0;0;2
"Algeria";"Household burglary";0;0;1;1;0;0;0;0;0;1;0;1;1;0
"Algeria";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Theft from cars, boats, etc.";0;0;0;0;0;1;0;1;0;0;0;0;0;0
"Algeria";"Shoplifting, etc.";8;10;11;6;12;16;10;7;4;9;10;9;17;7
"Algeria";"Other theft";2;1;1;3;3;5;3;0;2;3;3;2;3;0
"Algeria";"Theft of vehicle";0;2;0;0;0;2;0;0;0;1;0;1;0;0
"Algeria";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Theft of bicycles";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Algeria";"Theft of other objects";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Algeria";"Larceny by finding";0;2;1;0;1;1;0;0;0;0;0;0;0;0
"Algeria";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Fraud";1;1;0;2;0;0;0;1;0;1;0;3;2;3
"Algeria";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Algeria";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Handling stolen goods";0;1;0;0;0;0;1;0;0;0;3;2;0;2
"Algeria";"Robbery";0;1;1;4;2;0;2;0;1;2;2;1;0;0
"Algeria";"Gross tax evasion, etc.";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Algeria";"Malicious damage to property";0;0;0;1;0;1;1;0;0;1;0;1;1;0
"Algeria";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Misappropriations and offences against property";1;0;0;0;0;1;0;0;0;0;0;1;0;0
"Algeria";"Other offences, total";2;5;3;1;5;5;3;4;3;2;2;2;1;3
"Algeria";"Offences against public authority, etc.";1;1;2;0;2;3;2;1;2;1;1;1;1;0
"Algeria";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Perjury, other";0;1;0;0;1;1;1;0;1;0;1;0;0;1
"Algeria";"Offences concerning money and evidence";0;1;0;0;1;0;0;0;0;0;0;0;0;0
"Algeria";"Trafficking of drugs, etc.";1;0;0;1;0;1;0;3;0;0;0;1;0;1
"Algeria";"Smuggling, etc. of drugs";0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Algeria";"General public offences";0;0;1;0;1;0;0;0;0;1;0;0;0;0
"Algeria";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Privacy infringement, defamation";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Trafic law, total";34;29;34;34;43;47;47;40;39;33;47;75;61;47
"Algeria";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Traffic acc. under influence of alcohol";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Algeria";"Drunken driving";0;2;3;1;3;3;2;1;1;4;4;2;0;1
"Algeria";"Vehicle defect offences";0;1;0;2;1;1;0;1;0;0;0;1;0;0
"Algeria";"Road Traffic Act, other";34;26;31;30;39;43;45;38;38;29;43;72;61;46
"Algeria";"Special laws, total";11;13;20;21;22;27;18;30;31;20;26;29;20;34
"Algeria";"Euphoriants Act";5;8;7;9;12;14;6;10;7;9;12;13;3;12
"Algeria";"Firearms Act";4;0;1;4;1;4;6;3;2;0;2;0;4;4
"Algeria";"Income Tax And Fiscal Acts";0;0;0;0;0;2;0;0;1;0;0;3;0;0
"Algeria";"Other special laws.";0;1;7;4;5;5;5;11;8;1;8;6;5;13
"Algeria";"Health and social security legislation";0;0;1;0;0;0;0;0;0;0;0;1;6;2
"Algeria";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Environmental Act";0;1;0;0;0;1;0;0;1;0;1;0;0;0
"Algeria";"Other legislation applying to animals, hunting, etc";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Algeria";"Employ. and transport legislation, other";2;3;3;1;2;1;0;3;5;2;2;4;1;1
"Algeria";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Algeria";"Other legislation applying to the Armed Forces";0;0;0;2;1;0;1;3;6;6;1;1;1;1
"Algeria";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Algeria";"Other legislation relating to gambling, licencing, trade";0;0;1;0;1;0;0;0;1;1;0;0;0;0
"Algeria";"Other special laws";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Egypt";"Criminal decisions total";120;124;117;122;136;147;134;130;128;131;144;168;156;170
"Egypt";"Criminal code, total";38;37;31;32;38;35;27;28;29;24;28;23;21;40
"Egypt";"Sexual offenses, total";0;2;0;0;0;0;0;0;0;0;3;0;3;2
"Egypt";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Heterosexual offences with children under 12 years";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Egypt";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Egypt";"Offences against decency, other";0;1;0;0;0;0;0;0;0;0;1;0;1;1
"Egypt";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Egypt";"Crimes of violence, total";14;5;6;15;10;10;9;9;5;12;11;6;6;11
"Egypt";"Assault against public servant while in discharge of his duties";3;2;4;7;1;5;0;1;2;1;3;1;1;4
"Egypt";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Homicide";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Egypt";"Attempted homicide";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Common assault";6;3;1;7;3;3;5;3;2;7;6;4;5;1
"Egypt";"Grievous assault";3;0;0;0;5;1;1;1;0;3;2;0;0;2
"Egypt";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Other offences against life and limb";0;0;0;0;0;0;1;1;0;1;0;0;0;0
"Egypt";"Offences against personal liberty";0;0;0;0;0;0;0;0;1;0;0;1;0;0
"Egypt";"Threats";1;0;1;1;1;1;2;2;0;0;0;0;0;4
"Egypt";"Offenses against property, total";21;29;25;15;23;20;13;15;19;14;11;15;9;22
"Egypt";"Forgery";0;0;0;1;1;1;0;1;0;0;0;0;1;0
"Egypt";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Arson";1;0;0;0;0;0;0;1;0;0;0;0;0;0
"Egypt";"Burglary (banks, shops, etc.)";5;0;0;1;0;2;2;1;1;1;1;0;0;1
"Egypt";"Household burglary";0;1;1;1;0;1;1;1;0;0;1;1;0;1
"Egypt";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Theft from cars, boats, etc.";0;0;2;1;0;0;0;0;0;0;0;0;0;0
"Egypt";"Shoplifting, etc.";7;11;10;5;9;9;6;3;7;4;7;7;3;11
"Egypt";"Other theft";2;3;1;1;3;1;0;1;1;0;0;1;2;2
"Egypt";"Theft of vehicle";1;1;0;1;0;0;0;0;0;1;0;1;1;0
"Egypt";"Theft of mopeds";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Egypt";"Theft of bicycles";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Theft of other objects";2;0;1;0;0;0;1;0;1;1;0;0;0;0
"Egypt";"Larceny by finding";0;0;0;0;2;0;1;1;0;0;0;0;0;0
"Egypt";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Fraud";1;4;3;1;5;3;2;3;6;2;1;1;1;3
"Egypt";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Blackmail and usury";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Handling stolen goods";1;5;1;1;0;1;0;1;0;0;1;1;0;0
"Egypt";"Robbery";1;2;1;2;1;1;0;1;1;2;0;1;0;0
"Egypt";"Gross tax evasion, etc.";0;0;2;0;0;0;0;1;0;0;0;0;0;1
"Egypt";"Malicious damage to property";0;2;1;0;1;1;0;0;1;3;0;2;0;1
"Egypt";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Misappropriations and offences against property";0;0;1;0;0;0;0;0;1;0;0;0;1;2
"Egypt";"Other offences, total";6;4;2;4;6;8;6;6;8;0;5;2;4;5
"Egypt";"Offences against public authority, etc.";4;2;0;0;3;5;4;4;3;0;1;0;1;2
"Egypt";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Perjury, other";0;0;1;0;0;1;0;1;3;0;0;0;0;1
"Egypt";"Offences concerning money and evidence";1;0;0;1;0;0;0;0;0;0;0;0;0;0
"Egypt";"Trafficking of drugs, etc.";0;0;0;0;3;2;1;0;0;0;1;1;1;0
"Egypt";"Smuggling, etc. of drugs";1;0;0;0;0;0;1;0;0;0;0;0;1;1
"Egypt";"General public offences";0;1;0;2;0;0;0;0;0;0;1;0;0;1
"Egypt";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Family relation offences";0;0;1;0;0;0;0;0;1;0;0;0;0;0
"Egypt";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;0;0;1;0;1;0
"Egypt";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Privacy infringement, defamation";0;1;0;1;0;0;0;1;1;0;1;1;0;0
"Egypt";"Trafic law, total";72;80;76;77;94;95;89;84;72;81;95;118;104;97
"Egypt";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Traffic acc. under influence of alcohol";0;0;0;0;0;1;0;0;0;1;0;0;0;0
"Egypt";"Drunken driving";3;1;1;3;4;3;6;5;0;4;8;9;2;3
"Egypt";"Vehicle defect offences";3;2;3;0;1;0;1;0;2;4;1;0;0;0
"Egypt";"Road Traffic Act, other";66;77;72;74;89;91;82;79;70;72;86;109;102;94
"Egypt";"Special laws, total";23;27;28;36;33;34;32;38;44;45;48;48;46;53
"Egypt";"Euphoriants Act";13;19;10;18;14;12;12;15;16;16;22;28;13;16
"Egypt";"Firearms Act";3;1;0;1;4;1;1;2;3;3;3;1;5;3
"Egypt";"Income Tax And Fiscal Acts";0;0;2;2;1;4;3;3;1;2;2;2;1;2
"Egypt";"Other special laws.";4;1;7;6;6;10;14;11;14;18;13;4;13;21
"Egypt";"Health and social security legislation";1;0;2;1;1;0;1;0;1;0;1;2;8;3
"Egypt";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Environmental Act";1;0;1;1;1;1;0;1;0;0;0;0;2;2
"Egypt";"Other legislation applying to animals, hunting, etc";0;1;0;2;0;0;0;0;0;0;0;1;0;0
"Egypt";"Employ. and transport legislation, other";1;3;2;1;4;2;1;3;7;4;4;7;3;3
"Egypt";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;1;2
"Egypt";"Other legislation applying to the Armed Forces";0;1;2;2;2;3;0;3;2;2;3;2;0;1
"Egypt";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Egypt";"Other legislation relating to gambling, licencing, trade";0;1;2;2;0;1;0;0;0;0;0;1;0;0
"Egypt";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ethiopia";"Criminal decisions total";46;57;50;67;60;68;70;67;90;93;91;99;109;103
"Ethiopia";"Criminal code, total";22;24;24;28;23;21;22;19;26;28;23;19;22;22
"Ethiopia";"Sexual offenses, total";0;0;0;0;0;1;1;0;0;0;2;1;0;1
"Ethiopia";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ethiopia";"Rape, etc";0;0;0;0;0;1;1;0;0;0;0;0;0;1
"Ethiopia";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
