"Age, total";"Total";"Region Hovedstaden";"Australia";1452
"Age, total";"Total";"Region Hovedstaden";"Cook Islands";0
"Age, total";"Total";"Region Hovedstaden";"Fiji";5
"Age, total";"Total";"Region Hovedstaden";"French territories in the Pacific";0
"Age, total";"Total";"Region Hovedstaden";"Kiribati";0
"Age, total";"Total";"Region Hovedstaden";"Marshall Islands";0
"Age, total";"Total";"Region Hovedstaden";"New Zealand";313
"Age, total";"Total";"Region Hovedstaden";"Papua New Guinea";0
"Age, total";"Total";"Region Hovedstaden";"Solomon Islands";0
"Age, total";"Total";"Region Hovedstaden";"Samoa";2
"Age, total";"Total";"Region Hovedstaden";"Tonga";3
"Age, total";"Total";"Region Hovedstaden";"Tuvalu";0
"Age, total";"Total";"Region Hovedstaden";"Vanuatu";0
"Age, total";"Total";"Region Hovedstaden";"East Timor";0
"Age, total";"Total";"Region Hovedstaden";"Pacific Islands";0
"Age, total";"Total";"Region Hovedstaden";"Stateless";2358
"Age, total";"Total";"Region Hovedstaden";"Not stated";16
"Age, total";"Total";"Copenhagen";"Total";659350
"Age, total";"Total";"Copenhagen";"Denmark";530591
"Age, total";"Total";"Copenhagen";"Albania";134
"Age, total";"Total";"Copenhagen";"Andorra";0
"Age, total";"Total";"Copenhagen";"Belarus";127
"Age, total";"Total";"Copenhagen";"Belgium";661
"Age, total";"Total";"Copenhagen";"Bosnia and Herzegovina";555
"Age, total";"Total";"Copenhagen";"Bulgaria";1728
"Age, total";"Total";"Copenhagen";"Cyprus";68
"Age, total";"Total";"Copenhagen";"GDR";0
